,Indices,Tolerances
0,13102,10.0
1,13174,10.0
2,17051,10.0
3,17876,10.0
4,67774,10.0
5,68192,10.0
6,68851,10.0
7,84599,10.0
8,107901,10.0
9,108724,10.0
