,Indices,Tolerances
0,91447,10.0
1,103102,10.0
2,104423,10.0
3,106270,10.0
4,117173,10.0
5,118443,10.0
6,362874,10.0
7,363289,10.0
8,369684,10.0
9,505330,10.0
