,Indices,Tolerances
0,13304,10.0
1,13890,10.0
2,16379,10.0
3,17061,10.0
4,70714,10.0
5,71152,10.0
6,76239,10.0
7,92419,10.0
8,117106,10.0
9,125221,10.0
