,Indices,Tolerances
0,12940,100.0
1,13012,100.0
2,16770,100.0
3,17535,100.0
4,72578,100.0
5,72995,100.0
6,73651,100.0
7,86444,100.0
8,118417,100.0
9,119236,100.0
10,122720,100.0
