,Indices,Tolerances
0,91187,10.0
1,102832,10.0
2,104153,10.0
3,105996,10.0
4,116870,10.0
5,118127,10.0
6,360380,10.0
7,360793,10.0
8,367187,10.0
9,500980,10.0
