type_combined,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Native Trees,547166.9695101732,544907.5366963549,543854.6145772828,542938.0943952857,542114.5706934135,542251.8302742203,541003.8466546685,539787.9301747098,537196.1082374466,536033.1485043402,533403.6345583989
Semi-Native Trees,242101.70131099055,239096.37937176638,236482.95356759152,235421.41045208558,232551.74136858984,231669.45935333104,229041.03710087456,226569.92320096403,222547.25346586382,220420.98691140916,218370.88507584555
Trees,2058259.7758086913,2000403.7905229146,1957725.049402709,1940275.7824845149,1910401.0370808705,1909953.0650037036,1894355.3837993557,1887199.8820692871,1849123.6940330989,1834029.8743032746,1821455.8105653925
"Other (land, urban, etc.)",46878.466677972174,47299.66940208601,47879.26883023495,47697.555643426684,48036.444605915465,48505.11251448981,48579.69268662282,48747.58611558102,48722.254280363224,48781.99035299352,48797.92728376951
Barren & Felled,195565.7608435701,268006.765544963,326938.8540271699,356918.2823480411,394141.3744606037,399017.7830812346,429187.1201246669,463267.4737552176,520966.9288727658,547229.998778185,586954.9016096066
"Other (land, pasture, unknown, etc.)",24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787
