type_combined,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Trees,2825086.8446963425,2762582.13464513,2721624.876154392,2702168.1676916415,2668613.2422909625,2667501.507505637,2648037.0693546548,2637377.541416032,2592554.6794991028,2574139.099059224,2556911.0879224236
"Other (land, urban, etc.)",58540.74887304958,58870.8174330024,59435.97052306464,59251.96668367712,59544.279236055176,59969.516334663174,60025.21541560206,60161.18097142528,60136.2582347981,60196.00875516826,60212.16021459546
Barren & Felled,202764.58990074627,275267.78684307844,334194.42930960126,364156.09443849756,401229.4903742346,406048.0996247836,436023.9376355681,470107.356950821,527818.8552954887,554086.9251494991,593817.8453162207
