type_overlay,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Native Trees,789268.6708211637,784003.9160681212,780337.5681448744,778359.5048473714,774666.3120620031,773921.2896275513,770044.8837555429,766357.8533756738,759743.3617033104,756454.1354157493,751774.5196342446
Non-Native Trees,2058259.7758086913,2000403.7905229146,1957725.049402709,1940275.7824845149,1910401.0370808705,1909953.0650037036,1894355.3837993557,1887199.8820692871,1849123.6940330989,1834029.8743032746,1821455.8105653925
Felled Native Trees,31704.555594137648,36970.97759707921,40635.51478312167,42613.56531853057,46306.72151387751,47051.948732336146,50926.46814203319,54615.086394214515,61229.86472978201,64519.09088124664,69198.70678145287
Other Felled Trees,166664.70350882012,233825.23557980574,289068.691449897,317062.9233564602,350634.2649969432,354741.5220464757,381037.1981578604,411436.44293206587,462505.98024508235,485483.119795407,520532.2604290359
"Other (land, pasture, urban, etc.)",68818.01391808732,69253.26726966683,69856.96212388886,69682.39481597982,69979.87805520123,70472.47031641536,70546.19201089891,70706.57604402099,70696.38367776742,70752.82395402777,70764.9071823901
