type_aggregate,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Other (assumed & uncertain),168617.27766543772,157376.7793083696,169452.3378641167,178814.3536797764,182336.43127682316,184923.23159476396,195227.76887452527,210701.533579188,223044.90422991815,231247.468986452,251228.5898181265
"Other (land, urban, etc.)",58540.74887304958,58870.8174330024,59435.97052306464,59251.96668367712,59544.279236055176,59969.516334663174,60025.21541560206,60161.18097142528,60136.2582347981,60196.00875516826,60212.16021459546
Barren & Felled,202764.58990074627,275267.78684307844,334194.42930960126,364156.09443849756,401229.4903742346,406048.0996247836,436023.9376355681,470107.356950821,527818.8552954887,554086.9251494991,593817.8453162207
Broadleaved,1094110.8281126227,1094961.1650819746,1101904.1131904079,1102579.9328928948,1107659.9335446202,1115202.4287850494,1115276.9343254564,1119509.140741085,1116458.9306460696,1114646.1527302684,1113022.0924187612
Conifer,1255338.773604644,1191354.4029250166,1128150.0437784723,1094937.4823617814,1056156.316973247,1051863.2823714954,1023579.7712688856,992993.2780679861,940778.9903058541,917167.4635108872,881290.7450577642
Mixed (conifer & broadleaved),94709.31618872946,94770.51966887215,97855.62064079738,97696.96746372609,99237.74155248587,100352.56744400624,100172.59326980087,100123.8888785918,99595.91772961724,99530.04954966833,99342.81836391106
Young trees,212310.64912490835,224119.26766089743,224262.76068059873,228139.43129346363,223222.81894378524,215159.99731032256,213780.0016159865,214049.70014918086,212675.93658764428,211547.96428194904,212026.84226386118
